LfNr,Nachname,Vorname,Geschlecht,PLZ,Ort,Strasse,Hausnummer
4429,Brehm,Angelika,W,91725,Ehingen,Eldernweg,48
4430,Ehlers,Elke,W,54317,Gutweiler,Alberoplatz,134
4431,Paul,Leo,M,27367,Horstedt,Bücklersstraße,122
4432,Ritter,Kevin,M,90547,Stein,An Gut Nazareth,42
4433,Decker,Fatma,W,76549,Hügelsheim,Wüstweilerstraße,182
4434,Dietrich,Moritz,M,19406,Mustin,Am Kühlen Graben,18
4435,Sattler,Götz,M,74235,Erlenbach,Samlandweg,23
4436,Trapp,Cindy,W,31319,Sehnde,Gürzenicher Straße,10
4437,Mann,Rene,M,85241,Hebertshausen,Indestraße,186
4438,Seibel,Regina,W,36151,Burghaun,Schopenhauerweg,36
4439,Raab,Jonathan,M,27446,Sandbostel,Isolaplatz,66
4440,Martin,Brigitta,W,37339,Berlingerode,Hainbuchenweg,36
4441,Nickel,Axel,M,76744,Wörth am Rhein,Ursulinenstraße,121
4442,Resch,Dustin,M,83457,Bayerisch Gmain,Im Mühlenpark,131
4443,Fröhlich,Malte,M,30159,Hannover,Agathastraße,187
4444,Hentschel,Karlheinz,M,56368,Berghausen,Winand-Dammers-Straße,153
4445,Nguyen,Jeanette,W,87769,Oberrieden,Eifelplatz,112
4446,Junge,Hartwig,M,82496,Oberau,Schillerstraße,189
4447,Gabriel,Ludwig,M,89426,Mödingen,Weidenpesch,68
4448,Weidner,Sergej,M,66879,Reichenbach-Steegen,Albrecht-Dürer-Straße,112
4449,Wilhelm,Antonio,M,25560,Schenefeld,Zum Knipp,175
4450,Volk,Tobias,M,25548,Wittenbergen,Franz-Offergeld-Straße,126
4451,Nowak,Silvia,W,18546,Sassnitz,Beythaler Straße,103
4452,Franke,Sergej,M,55452,Dorsheim,Im Eschfeld,173
4453,Stadler,Heidi,W,82205,Gilching,Ahrweg,168
4454,Knoll,Eckard,M,72218,Wildberg,Hans-Brückmann-Straße,56
4455,Schleicher,Erwin,M,24392,Süderbrarup,Eintrachtstraße,132
4456,Eichhorn,Wladimir,M,72160,Horb am Neckar,Pollesmaar,191
4457,Rose,Rosemarie,W,18059,Ziesendorf,Im Kasteiengarten,71
4458,Holz,Heidrun,W,89186,Illerrieden,Laubenweg,194
4459,Kilian,Falk,M,27283,Verden (Aller),Dirichletweg,118
4460,Dieckmann,Egon,M,55276,Oppenheim,Grüngürtel,58
4461,Münch,Rene,M,91601,Dombühl,Am Rurufer,10
4462,Palm,Nadine,W,9557,Flöha,Velinstraße,124
4463,Zeidler,Wolfgang,M,87616,Marktoberdorf,Lennarzstraße,105
4464,Gebhardt,Jule,W,94336,Hunderdorf,Engengraben,15
4465,Wiese,Annika,W,56479,Waldmühlen,Schlichbachstraße,109
4466,Schick,Marianne,W,7768,Großeutersdorf,Bretzelnweg,159
4467,Baum,Christina,W,16230,Britz,Rilkestraße,174
4468,Eckardt,Beatrix,W,61267,Neu-Anspach,Erlenstraße,144
4469,Wagner,Sandra,W,80797,München,Dr.-Overhues-Allee,145
4470,Ulrich,Willfried,M,95503,Hummeltal,Fuggerstraße,134
4471,Kühl,Kerstin,W,17166,Teterow,Stettiner Straße,53
4472,Rau,Tamara,W,84524,Neuötting,Am Scheppgraben,157
4473,Metzger,Tina,W,91463,Dietersheim,Dirichletweg,31
4474,Krauß,Ahmed,M,17089,Werder,Sophienhof,59
4475,Ullmann,Emily,W,71729,Erdmannhausen,Distelrather Straße,152
4476,Ruppert,Melissa,W,24879,Idstedt,Heinrich-Heine-Straße,26
4477,Schade,Agnes,W,13159,Berlin,Im Königshof,139
4478,Conrad,Erhard,M,87538,Fischen im Allgäu,Kapellenstraße,41
4479,Scheller,Diana,W,25569,Kremperheide,Sattlerstraße,109
4480,Hafner,Heiko,M,25474,Hasloh,Annabergweg,56
4481,Hardt,Norman,M,21683,Stade,Küferstraße,114
4482,Hecker,Ibrahim,M,60433,Frankfurt am Main,Dorfstraße,33
4483,Sattler,Roger,M,19217,Utecht,Kölner Landstraße,173
4484,Hanke,Thilo,M,21407,Deutsch Evern,Zum Katzbach,178
4485,Bucher,Manuel,M,31139,Hildesheim,Rurdammweg,147
4486,Kersten,Maren,W,98634,Mehmels,Friedhofstraße,81
4487,Hartung,Cindy,W,23738,Lensahn,Uferstraße,163
4488,Bartel,Bettina,W,88167,Stiefenhofen,Martinusplatz,64
4489,Hinrichs,Dietrich,M,89284,Pfaffenhofen a.d.Roth,Blumenthalstraße,103
4490,Groß,Carsten,M,38489,Beetzendorf,Mirweilerweg,196
4491,Apel,Christian,M,88634,Herdwangen-Schönach,Amsterdamer Straße,63
4492,Hauser,Franz,M,45475,Mülheim an der Ruhr,Sophienhof,79
4493,Rabe,Heino,M,99310,Bösleben-Wüllersleben,Ursulastraße,21
4494,Steffen,Christina,W,59969,Bromskirchen,Hüttenstraße,198
4495,Thiel,Bianca,W,21255,Königsmoor,Moselstraße,160
4496,Weber,Martin,M,60327,Frankfurt am Main,Aachener Straße,60
4497,Engel,Louis,M,56459,Härtlingen,Wernersstraße,15
4498,Blank,Sina,W,88662,Überlingen,Koenenstraße,14
4499,Langer,Jonathan,M,25855,Haselund,Malteserstraße,80
4500,Sattler,Ewa,W,24116,Kiel,Ardennenstraße,87
4501,Steinbach,Marlene,W,66894,Bechhofen,Karlstraße,2
4502,Schober,Heiner,M,53940,Hellenthal,Gürzenicher Straße,85
4503,Schaaf,Swetlana,W,15518,Berkenbrück,Im Spich,56
4504,Busch,Hartmut,M,29699,Bomlitz,Stockheimer Landstraße,49
4505,Börner,Manuela,W,9629,Reinsberg,Auf der Kall,20
4506,Körner,Philipp,M,84431,Heldenstein,Karlstraße,7
4507,Späth,Ulrich,M,17111,Kletzin,Kölner Landstraße,132
4508,Stein,Nikola,M,63911,Klingenberg am Main,Schlichbachstraße,72
4509,Bergmann,Ursula,W,37120,Bovenden,Auf der Alten Kirche,10
4510,Wendel,Max,M,57080,Siegen,Leipziger Straße,111
4511,Grau,Beate,W,56357,Holzhausen an der Haide,Auf dem Broich,17
4512,Friedrichs,Claas,M,29588,Oetzen,In der Mulde,114
4513,Herzog,Siegfried,M,1994,Schipkau,An der Erk,139
4514,Bühler,Nicola,W,21502,Geesthacht,Am Courtenbachshof,58
4515,Grunwald,Abdul,M,4895,Uebigau-Wahrenbrück,Wechselsaat,113
4516,Henn,Nick,M,25813,Simonsberg,Am Sandberg,89
4517,Michael,Heidi,W,1731,Kreischa,Kupfermühle,154
4518,Krauß,Reinhold,M,66809,Nalbach,Schafweg,147
4519,Eberle,Liane,W,34355,Staufenberg,Poliusstraße,132
4520,Förster,Margot,W,73550,Waldstetten,Warener Straße,182
4521,Ortmann,Manfred,M,55494,Wahlbach,Rilkestraße,141
4522,Brandes,Steven,M,54597,Wallersheim,An der Gerstenmühle,160
4523,Jakobs,Marianne,W,66909,Krottelbach,Wolffsgasse,82
4524,Schatz,Konstantin,M,17089,Grischow,Keplerstraße,57
4525,Ebert,Uta,W,25364,Westerhorn,Carl-Weingartz-Straße,147
4526,Köhn,Roswita,W,80331,München,Viktoriastraße,25
4527,Lippert,Denise,W,27324,Schweringen,An Gut Nazareth,150
4528,Metzner,Christina,W,67307,Göllheim,Schlichbachstraße,97
4529,Schirmer,Dennis,M,58540,Meinerzhagen,Schmalenburg,174
4530,Spies,Steven,M,14806,Planetal,Friedensplatz,27
4531,Neu,Ulf,M,18059,Ziesendorf,Jesuitengasse,90
4532,Ulrich,Kimberly,W,65479,Raunheim,Blumenthalstraße,43
4533,Kunert,Annika,W,70372,Stuttgart,Fehlender Feld,190
4534,Geyer,Nina,W,73569,Obergröningen,Spenglerstraße,52
4535,Westermann,Carlos,M,25712,Hochdonn,Daubenvaldersweg,108
4536,Eichler,Irmgard,W,92421,Schwandorf,Pfarrer-Füssenich-Straße,28
4537,Merz,Fabian,M,67808,Würzweiler,Katharinenstraße,23
4538,Matthes,Carolin,W,3130,Spremberg,Einsteinstraße,170
4539,Schweitzer,Gregor,M,2627,Radibor - Radwor,Darßer Weg,47
4540,Arnold,Jonas,M,94330,Salching,In der Kaul,194
4541,Grabowski,Thorsten,M,72531,Hohenstein,Zum Volkspark,1
4542,Schindler,Gabriela,W,21726,Kranenburg,Nordstraße,65
4543,Lenz,Tom,M,54597,Strickscheid,Effertzgasse,176
4544,Kraus,Heidemarie,W,91094,Langensendelbach,Arnoldsweilerstraße,117
4545,Eichhorn,Ricarda,W,12247,Berlin,Thomas-Mann-Straße,70
4546,Freund,Markus,M,88175,Scheidegg,Hofackerstraße,60
4547,Glaser,Laura,W,96178,Pommersfelden,An der Garnbleiche,128
4548,Bertram,Enrico,M,37079,Göttingen,Dampfmühlenstraße,44
4549,Wulff,Agnes,W,86633,Neuburg an der Donau,Thomas-Mann-Straße,1
4550,Ullrich,Valentin,M,55234,Albig,Chlodwigplatz,154
4551,Reichert,Nina,W,56370,Schönborn,Josef-Schregel-Straße,13
4552,Heinrich,Joshua,M,99448,Kranichfeld,Meiringstraße,188
4553,Grube,Waltraud,W,25767,Immenstedt,Veldener Straße,19
4554,Pauli,Annegret,W,85053,Ingolstadt,An St. Nikolaus,46
4555,Schuhmacher,Liane,W,57539,Breitscheidt,Leo-Steiger-Straße,34
4556,Hagen,Nancy,W,98593,Floh-Seligenthal,Kaiserplatz,151
4557,Heinze,Anneliese,W,76889,Gleiszellen-Gleishorbach,Isolaplatz,75
4558,Wilke,Falk,M,92268,Etzelwang,Pastor-Lüpschen-Straße,198
4559,Vollmer,Carolina,W,44289,Dortmund,Windgensgasse,51
4560,Baumgarten,Wolfgang,M,99518,Großheringen,Bismarckstraße,107
4561,Krebs,Gertrud,W,70567,Stuttgart,Schillingsstraße,53
4562,Engelhardt,Fritz,M,15890,Eisenhüttenstadt,Hauptstraße,33
4563,Eckhardt,Helene,W,77756,Hausach,Auf dem Horstert,163
4564,Petermann,Thilo,M,94149,Kößlarn,Auf dem Broich,118
4565,Uhlig,Helene,W,56865,Schauren,Leo-Steiger-Straße,70
4566,Reimers,Sven,M,4626,Löbichau,An St. Bonifatius,61
4567,Barthel,Gerald,M,65375,Oestrich-Winkel,Wilhelm-Wester-Weg,75
4568,Klotz,Werner,M,56341,Filsen,Wolffsgasse,170
4569,Grote,Lea,W,86739,Ederheim,Berliner Straße,129
4570,Große,Nadja,W,27259,Wehrbleck,Wittlicher Straße,60
4571,Süß,Sigrid,W,76889,Oberotterbach,Kleinhardt,112
4572,Reiter,Uwe,M,53115,Bonn,Am Alten Wasserturm,106
4573,Sailer,Jan,M,64404,Bickenbach,Markt,31
4574,Scherer,Cordula,W,25840,Seeth,Am Dürener Weg,22
4575,Pfeifer,Carola,W,78733,Aichhalden,Eichendorffstraße,102
4576,Fritz,Lina,W,66500,Hornbach,Am Hagelkreuz,190
4577,Brandes,Fabio,M,17217,Penzlin,Gut Weyern,40
4578,Kirchner,Oliver,M,29549,Bad Bevensen,Viandener Straße,130
4579,Kern,Angela,W,6458,Hedersleben,Schmiedestraße,65
4580,Wiese,Helmut,M,48599,Gronau,Ahrweilerplatz,55
4581,Drechsler,Hendrik,M,48147,Münster,Paulstraße,108
4582,Ortmann,Lorenz,M,93464,Tiefenbach,Schmalenburg,144
4583,Liedtke,Malte,M,54636,Biersdorf am See,Auweg,89
4584,Sperling,Enrico,M,24392,Scheggerott,Hüttenstraße,179
4585,Blume,Carolin,W,94550,Künzing,Parkstraße,159
4586,Hauck,Sascha,M,27574,Bremerhaven,Matthias-Claudius-Straße,143
4587,Lange,Joel,M,84175,Schalkham,Am Brummenberg,103
4588,Reiß,Annette,W,22929,Hamfelde,Blumenthalstraße,5
4589,Ott,Manuela,W,21272,Egestorf,Im Kleffert,60
4590,Wegener,Regina,W,33689,Bielefeld,Wiechertstraße,141
4591,Ott,Pascal,M,23816,Groß Niendorf,Auf der Roer,154
4592,Vogt,Paula,W,55767,Kronweiler,Burgacker,182
4593,Sauer,Bruno,M,86750,Megesheim,Carl-Weingartz-Straße,112
4594,Kemper,Maria,W,86483,Balzhausen,Sophie-Scholl-Straße,10
4595,Hermes,Thilo,M,40668,Meerbusch,Schelle,39
4596,Schirmer,Leonard,M,69429,Waldbrunn,Hegelweg,177
4597,Gärtner,Celina,W,89584,Ehingen (Donau),Carl-Weingartz-Straße,187
4598,Fürst,Michael,M,41379,Brüggen,Am Burgauer Busch,45
4599,Steiner,Roman,M,77797,Ohlsbach,Friedrich-Ebert-Platz,127
4600,Küpper,Malte,M,33659,Bielefeld,Dirichletweg,183
4601,Blum,Liane,W,55758,Bärenbach,Kapellenstraße,67
4602,Grün,Carsten,M,4861,Torgau,Liebigstraße,106
4603,Fröhlich,Georgios,M,56355,Diethardt,Walzmühle,81
4604,Schüler,Fabio,M,52385,Nideggen,Leipziger Straße,92
4605,Lutz,Bianca,W,18195,Stubbendorf,Schulstraße,99
4606,Göbel,Anita,W,23968,Gägelow,Krauthausener Straße,153
4607,Münch,Dennis,M,31719,Wiedensahl,Wilhelm-Schüll-Straße,170
4608,Post,Wladimir,M,70327,Stuttgart,Zum Friesenhof,13
4609,Exner,Ibrahim,M,99718,Oberbösa,Annakirmesplatz,127
4610,Menke,Nora,W,94140,Ering,Am Weckshof,133
4611,Ernst,Roland,M,23896,Ritzerau,Leonhardsgasse,135
4612,Behr,Claas,M,31228,Peine,Hansemannstraße,164
4613,Benz,Natalia,W,77784,Oberharmersbach,Ackerstraße,79
4614,Hellwig,Dietrich,M,35581,Wetzlar,Am Weckshof,134
4615,Zeidler,Friedrich,M,3185,Drehnow,Weckspfad,193
4616,Dietrich,Erhard,M,26340,Zetel,Kiefernweg,103
4617,Frey,Samuel,M,25774,Karolinenkoog,Viktoriastraße,50
4618,Schmidt,Julius,M,78628,Rottweil,Elberfelder Straße,148
4619,Lang,Ursula,W,37434,Bilshausen,Heinrich-Heine-Straße,173
4620,Karl,Marc,M,83629,Weyarn,Ursulastraße,157
4621,Reinhard,Tilmann,M,25548,Kellinghusen,Berta-Timmermann-Straße,163
4622,Wenzel,Julius,M,55758,Mackenrodt,Lilienstraße,100
4623,Eggert,Tilmann,M,58454,Witten,Dr.-Kotthaus-Straße,14
4624,Heidrich,Jasmin,W,3197,Jänschwalde,August-Klotz-Straße,143
4625,Haase,Knut,M,19230,Strohkirchen,Auf dem Driesch,178
4626,Schrader,Gerrit,M,85716,Unterschleißheim,Paradiesbenden,37
4627,Brüning,Jutta,W,7907,Görkwitz,Stauffenbergstraße,92
4628,Kunert,Cordula,W,85053,Ingolstadt,Willy-Brandt-Park,111
4629,Reinke,Maximilian,M,24805,Prinzenmoor,Eifelplatz,85
4630,Buck,Eckard,M,64521,Groß-Gerau,Stammelner Fließ,134
4631,Kirchner,Saskia,W,26409,Wittmund,Olefstraße,57
4632,Kunze,Monique,W,74747,Ravenstein,Karolingerweg,196
4633,Reif,Nadine,W,24960,Glücksburg,Rudolf-Schock-Platz,12
4634,Steffens,Jürgen,M,28327,Bremen,Fuggerstraße,141
4635,Mann,Niko,M,14789,Bensdorf,Salierweg,114
4636,Arnold,Diana,W,94439,Roßbach,Meiringstraße,42
4637,Jung,Simon,M,36433,Leimbach,Neumühle,105
4638,Moser,Julien,M,54662,Speicher,Dirichletweg,156
4639,Reinhold,Vanessa,W,24997,Wanderup,Holzstraße,62
4640,Merten,Noah,M,67487,Sankt Martin,Hardtstraße,145
4641,Klaus,Hendrik,M,74248,Ellhofen,Ubierstraße,177
4642,Lehner,Gerrit,M,7907,Plothen,Forsthaus Weyern,186
4643,Strobel,Dorothee,W,77866,Rheinau,Hebbelstraße,55
4644,Rath,Alice,W,73553,Schwäbisch Gmünd,Heerweg,150
4645,Strobel,Victoria,W,10779,Berlin,Im Pützbroich,67
4646,Resch,Robert,M,55606,Heimweiler,Tischlerstraße,167
4647,Emmerich,Evelyn,W,93086,Wörth an der Donau,Van-der-Velden-Straße,32
4648,Köster,Magdalena,W,17440,Kröslin,Dechant-Bohnekamp-Straße,178
4649,Sperling,Margot,W,94513,Schönberg,Stresemannstraße,192
4650,Trapp,Kim,M,1936,Schwepnitz,Baumschulenweg,54
4651,Pohlmann,Helge,M,34516,Vöhl,Schoellerstraße,152
4652,Rauch,Franziska,W,54589,Kerschenbach,Hovener Straße,55
4653,Kübler,Abdul,M,38173,Veltheim,Andreasstraße,26
4654,Buchmann,Toni,M,73119,Zell unter Aichelberg,Hüttenstraße,145
4655,Drescher,Gesa,W,93453,Neukirchen beim Heiligen Blut,Dr.-Decker-Straße,156
4656,Roth,Ronja,W,27726,Worpswede,Berzberger Fahrt,36
4657,Horn,Julius,M,6849,Dessau-Roßlau,Fritz-Keller-Weg,197
4658,Bucher,Danny,M,21785,Neuhaus,Im Kleffert,1
4659,Wiedemann,Maximilian,M,54329,Konz,Hans-Brückmann-Straße,190
4660,Weigel,Andre,M,50127,Bergheim,Ernst-Ohst-Straße,155
4661,Dick,Veronika,W,7743,Jena,Martinusstraße,43
4662,Ries,Irmgard,W,84189,Wurmsham,Pützgesbenden,77
4663,Wendt,Maike,W,25593,Reher,Senefelderstraße,21
4664,Busch,Reinhold,M,83550,Emmering,Kettelerstraße,191
4665,Hübner,Mario,M,94169,Thurmansbang,Irisweg,183
4666,Gottschalk,Lisa,W,78549,Spaichingen,Flemingstraße,65
4667,Bach,Lukas,M,23816,Bebensee,Mühlhovener Straße,15
4668,Gruber,Karl,M,72417,Jungingen,Paradiesbenden,30
4669,Albrecht,Eduard,M,39221,Bördeland,Merianstraße,48
4670,Bernhardt,Adam,M,24890,Süderfahrenstedt,Johanniterstraße,63
4671,Mohr,Walter,M,17459,Ückeritz,Matthias-Claudius-Straße,157
4672,Brauer,Moritz,M,48157,Münster,Traunseeweg,75
4673,Böhmer,Liane,W,56814,Landkern,An der Windmühle,133
4674,Zink,Toni,M,17337,Groß Luckow,Sepp-Herberger-Platz,111
4675,Starke,Sandra,W,19412,Weitendorf,Max-Oppenheim-Platz,99
4676,Lange,Mareike,W,32689,Kalletal,Am Ellernbusch,50
4677,Finke,Gunter,M,18334,Bad Sülze,Zum Roten Kreuz,84
4678,Kemper,Kira,W,48161,Münster,Hans-Böckler-Straße,111
4679,Kreuzer,Maria,W,66115,Saarbrücken,Turmstraße,170
4680,Schmitz,Rosa,W,29693,Hodenhagen,Schloßbergstraße,51
4681,Ochs,Erich,M,17129,Alt Tellin,Rurdammweg,28
4682,Fink,Johanna,W,95676,Wiesau,An Gut Boisdorf,150
4683,Born,Annegret,W,50996,Köln,Mörikestraße,165
4684,Bock,Werner,M,18198,Stäbelow,Schmittenfeldchen,194
4685,Reimer,Thilo,M,95179,Geroldsgrün,Hammerau,111
4686,Ebel,Niko,M,87657,Görisried,Kreuzherrenstraße,27
4687,Reinhold,Deniz,M,95707,Thiersheim,Eldernweg,156
4688,Behr,Lina,W,95447,Bayreuth,Ritterstraße,190
4689,Obermeier,Tobias,M,56754,Möntenich,Hermann-Hesse-Straße,115
4690,Lehner,Mike,M,23847,Düchelsdorf,An der Kuhbrücke,71
4691,Hesse,Luisa,W,66127,Saarbrücken,Eburonenweg,83
4692,Heitmann,Eva,W,9579,Grünhainichen,Sattlerstraße,62
4693,Mielke,Rita,W,69251,Gaiberg,Spenglerstraße,86
4694,Keil,Heidemarie,W,25776,Sankt Annen,Im Reuter,98
4695,Siegel,Christine,W,56370,Berndroth,Dr.-Christian-Seybold-Straße,15
4696,Bolz,Isabella,W,69124,Heidelberg,Steglitzstraße,135
4697,Hinz,Marius,M,40237,Düsseldorf,Stürtzstraße,139
4698,Henrich,Enrico,M,92331,Lupburg,Waidfeld,34
4699,Engels,Nele,W,87779,Trunkelsberg,Cranachstraße,69
4700,Reiß,Ilse,W,24229,Schwedeneck,Im Lintes,152
4701,Renner,Konstantin,M,49762,Renkenberge,Lennarzstraße,62
4702,Hafner,Bettina,W,60322,Frankfurt am Main,Eburonenweg,79
4703,Metzger,Peter,M,14727,Premnitz,Königsberger Straße,154
4704,Ahrens,Walter,M,53539,Bodenbach,Erftstraße,14
4705,Neuhaus,Marlene,W,56294,Gierschnach,Dr.-Overhues-Allee,91
4706,Marquardt,Lorenz,M,61479,Glashütten,Auf dem Hammer,68
4707,Obermeier,Erwin,M,93464,Tiefenbach,Gertrudisstraße,129
4708,Born,Jochen,M,53518,Leimbach,Zum Katzbach,9
4709,Rupp,Edeltraud,W,56479,Neunkirchen,Teichstraße,141
4710,Braun,Heiko,M,56291,Wiebelsheim,Schroederstraße,103
4711,Vogl,Fred,M,95183,Töpen,Elberfelder Straße,97
4712,Schnell,Margot,W,4749,Ostrau,An St. Johannes,69
4713,Koller,Miriam,W,16818,Neuruppin,Münsterweg,27
4714,Reitz,Manuela,W,83530,Schnaitsee,Maarstraße,114
4715,Wirth,Helmut,M,24643,Struvenhütten,Kantstraße,164
4716,Beer,Margot,W,92551,Stulln,Dechant-Vaßen-Straße,13
4717,Seitz,Nancy,W,66851,Bann,Metallweberstraße,167
4718,Benz,Annabelle,W,67280,Ebertsheim,Pastor-Hesseler-Straße,97
4719,Scheffler,Edgar,M,68307,Mannheim,Eifelplatz,83
4720,Pietsch,Tanja,W,56814,Bremm,Rurbenden,140
4721,Thieme,Yvonne,W,72555,Metzingen,Bismarckstraße,195
4722,Bräuer,Amelie,W,99441,Großschwabhausen,Josef-Schregel-Straße,119
4723,Burmeister,Veronika,W,56651,Brenk,Keltenstraße,103
4724,Lange,Ilse,W,18356,Barth,Pestalozzistraße,180
4725,Späth,Nikola,M,15745,Wildau,Nibelungenweg,90
4726,Link,Arnd,M,39261,Zerbst/Anhalt,Gürzenicher Straße,190
4727,Exner,Robert,M,99195,Schloßvippach,Josef-Ebertz-Platz,120
4728,Winter,Leif,M,39112,Magdeburg,An der Scheidheck,33
4729,Schmid,Lisa,W,60488,Frankfurt am Main,Stockheimer Landstraße,81
4730,Mann,Gerd,M,67697,Otterberg,Rölsdorfer Straße,35
4731,Stiller,Harald,M,25551,Winseldorf,Thomasstraße,146
4732,Klinger,Steven,M,64354,Reinheim,Im Königshof,169
4733,Hentschel,Emma,W,75249,Kieselbronn,Dahlienstraße,182
4734,Berthold,Wladimir,M,9488,Thermalbad Wiesenbad,Hansemannstraße,138
4735,Hartmann,Joanna,W,71063,Sindelfingen,Keltenstraße,148
4736,Brauer,Louis,M,54673,Berkoth,Dr.-Kotthaus-Straße,130
4737,Herold,Hendrik,M,90765,Fürth,Oststraße,81
4738,Specht,Martha,W,97265,Hettstadt,Senefelderstraße,128
4739,Meister,Ralf,M,26529,Wirdum,Am Rurufer,12
4740,Mohr,Inge,W,39307,Jerichow,Sophienhof,87
4741,Linke,Ronny,M,82110,Germering,Zum Bauschhof,109
4742,Mann,Steven,M,91438,Sugenheim,An der Kreisbahn,4
4743,Hummel,Astrid,W,61449,Steinbach,Andreas-Kufferath-Platz,133
4744,Becher,Ingrid,W,24248,Mönkeberg,Lagerstraße,149
4745,Michels,Brigitta,W,87679,Westendorf,Girbelsrather Straße,110
4746,Heuser,Frederike,W,89437,Haunsheim,Trierbachweg,6
4747,Borchert,Konrad,M,25554,Nortorf,Zur Kesselkaul,24
4748,Schiffer,Tanja,W,99976,Menteroda,Am Adenauerpark,21
4749,Henrich,Sabine,W,49809,Lingen (Ems),Mozenborner Straße,31
4750,Kessler,Britta,W,25791,Barkenholm,Karl-Arnold-Straße,50
4751,Rauscher,Andrzej,M,83512,Wasserburg am Inn,Alemannenweg,94
4752,Philipp,Hella,W,7389,Gössitz,Kerpener Straße,7
4753,Wagner,Dietrich,M,17375,Ahlbeck,Lessingstraße,26
4754,Steiner,Rudolf,M,7924,Neundorf,Rektor-Peiffer-Straße,109
4755,Eckhardt,Doris,W,25524,Kollmoor,Taunusstraße,184
4756,Stiller,Olga,W,92699,Bechtsrieth,Im Mühlenpark,144
4757,Reif,Ercan,M,19273,Amt Neuhaus,Violengasse,192
4758,Lampe,Bastian,M,9488,Thermalbad Wiesenbad,Birgeler Straße,183
4759,Scholl,Agnes,W,94518,Spiegelau,Agnesstraße,193
4760,Wörner,Paulina,W,39646,Oebisfelde-Weferlingen,Briandstraße,18
4761,Siebert,Hans,M,73447,Oberkochen,Breite Straße,98
4762,Weise,Helen,W,73765,Neuhausen auf den Fildern,Trift,169
4763,Knorr,Felix,M,91284,Neuhaus a.d.Pegnitz,Schwalbenweg,196
4764,Menzel,Willfried,M,87640,Biessenhofen,Im Rossfeld,139
4765,Schütze,Arthur,M,32760,Detmold,Schenkelstraße,115
4766,Specht,Lothar,M,88379,Unterwaldhausen,Traunseeweg,70
4767,Fink,Riko,M,63936,Schneeberg,Beythaler Straße,16
4768,Gärtner,Winfried,M,94239,Ruhmannsfelden,Pastor-Lüpschen-Straße,52
4769,Groth,Viola,W,14823,Rabenstein/Fläming,Wieselsmaar,47
4770,Wulf,Tim,M,92331,Parsberg,Max-Planck-Straße,184
4771,Wulff,Jörn,M,84061,Ergoldsbach,Steinmaar,67
4772,Stock,Tina,W,24941,Flensburg,Fritz-Pley-Straße,129
4773,Hafner,Fred,M,19069,Lübstorf,Hardtstraße,148
4774,Steffens,Darius,M,32339,Espelkamp,Stresemannstraße,160
4775,Steffens,Dietrich,M,2899,Schönau-Berzdorf auf dem Eigen,Hubert-Gasper-Straße,101
4776,Binder,Rudolf,M,34260,Kaufungen,Hammerstraße,22
4777,Wessel,Gabriela,W,76833,Frankweiler,Brändströmstraße,32
4778,Hirsch,Jacqueline,W,37339,Kirchworbis,An der Ziegelei,71
4779,Busse,Yasemin,W,25785,Nordhastedt,Andreasstraße,2
4780,Heil,Marleen,W,76857,Wernersberg,Grube-Alfred-Straße,186
4781,Röder,Philipp,M,54673,Dauwelshausen,Schwarzenbroichstraße,87
4782,Reichel,Kay,W,1612,Glaubitz,Lasallestraße,148
4783,Schirmer,Karen,W,4910,Elsterwerda,An der Garnbleiche,16
4784,Schröder,Lisa,W,21702,Ahlerstedt,Quirinusstraße,1
4785,Vollmer,Kirsten,W,93049,Regensburg,Saint-Hubert-Straße,181
4786,Henke,Agnes,W,27308,Kirchlinteln,Wirteltorplatz,53
4787,Hartwig,Frauke,W,79541,Lörrach,Am Kirchendriesch,109
4788,Bergmann,Eckard,M,44809,Bochum,Pastor-Lüpschen-Straße,163
4789,Lauer,Raimund,M,67681,Sembach,Cornetzhof,103
4790,Schott,Carina,W,7570,Teichwitz,August-Klotz-Straße,121
4791,Reimers,Manuela,W,72070,Tübingen,Dornheckweg,13
4792,Esser,Lars,M,24975,Husby,Rurstraße,122
4793,Eilers,Nancy,W,56288,Kastellaun,August-Klotz-Straße,53
4794,Sachs,Nick,M,96337,Ludwigsstadt,Im Kleffert,33
4795,Welsch,Jasper,M,54597,Kleinlangenfeld,Max-Oppenheim-Platz,186
4796,Grimm,Veronika,W,27412,Wilstedt,Elberfelder Straße,100
4797,Schindler,Danny,M,10243,Berlin,Wörthstraße,12
4798,Korn,Michaela,W,56357,Welterod,Poliusstraße,69
4799,Drews,Abdul,M,89437,Haunsheim,Mirweilerweg,116
4800,Raab,Robin,M,99638,Kindelbrück,Zehnthofstraße,159
4801,Weiler,Julia,W,53489,Sinzig,Vikar-Klein-Straße,26
4802,Pahl,Arthur,M,97237,Altertheim,Boisdorfer Weg,61
4803,Schulte,Frank,M,15345,Garzau-Garzin,Birkenalle,185
4804,Otte,Luisa,W,38690,Goslar,Zollhausstraße,112
4805,Kuhn,Julien,M,88422,Alleshausen,Amselweg,175
4806,Wilke,Dörte,W,27367,Hellwege,An den Stadtwerken,44
4807,Keßler,Jeanette,W,49824,Emlichheim,Schumannweg,174
4808,Pahl,Annette,W,88267,Vogt,Fehlender Feld,10
4809,Westermann,Melina,W,23899,Gudow,Schwalbenweg,38
4810,Neubauer,Jana,W,2733,Cunewalde,Im Altwerk,146
